Feature,Unweighted,Weighted,Balanced,Weighted_Diff,Balanced_Diff,Abs_Balanced_Diff
hapax_legomena_ratio,0.06769821,0.052503366,0.045456607,-0.015194844,-0.022241604,0.022241604
flesch_reading_ease,0.1748056,0.27503642,0.19494772,0.10023083,0.020142123,0.020142123
mean_drift,0.46296826,0.35516238,0.44703537,-0.10780588,-0.015932888,0.015932888
ttr_range,0.019559778,0.009637057,0.011234804,-0.009922721,-0.008324974,0.008324974
ttr_variance,0.015284013,0.017454458,0.02271453,0.0021704454,0.007430516,0.007430516
punct_network_entropy,0.025177456,0.02958612,0.030840397,0.004408663,0.0056629404,0.0056629404
mean_ttr,0.014405041,0.0135203665,0.019565396,-0.0008846745,0.005160355,0.005160355
punct_bigram_count,0.02411048,0.02348713,0.029103106,-0.0006233491,0.0049926266,0.0049926266
punctuation_density,0.018247478,0.015634611,0.022730619,-0.0026128665,0.004483141,0.004483141
max_dependency_depth,0.010718297,0.009472917,0.014644215,-0.0012453804,0.0039259177,0.0039259177
signal_length,0.06877041,0.07279958,0.06574912,0.0040291697,-0.003021285,0.003021285
pos_entropy,0.05055936,0.07896923,0.047734886,0.028409872,-0.0028244741,0.0028244741
flesch_kincaid_grade,0.01934065,0.018742427,0.017344348,-0.000598222,-0.001996301,0.001996301
punct_transition_variety,0.013991367,0.015066092,0.015651481,0.0010747248,0.0016601142,0.0016601142
avg_dependency_depth,0.014363627,0.0129277995,0.015247416,-0.0014358275,0.0008837888,0.0008837888
token_count,0.0,0.0,0.0,0.0,0.0,0.0
ttr_std,0.0,0.0,0.0,0.0,0.0,0.0
