Feature,Human_Mean,Human_SD,Human_Median,Human_Min,Human_Max,AI_Mean,AI_SD,AI_Median,AI_Min,AI_Max,t_statistic,p_value,p_value_mw,Cohen_d,Effect_Size,Significant,Diff_Mean,Diff_Percent,abs_Cohen_d
flesch_reading_ease,74.09655591493713,12.371777851545646,75.38957837616931,10.848873239436628,101.35000000000002,38.39487533994351,21.7273315807942,39.62988660990713,-24.98499999999997,96.32356884057974,48.879001724510786,7.11523446345114e-294,0.0,2.28379715603919,Large,True,35.70168057499362,92.9855358531453,2.28379715603919
mean_drift,2.9160316389821515,0.2554338456578525,2.9044042392553555,2.2508752083829484,4.373626818381554,2.4515445483300153,0.19341181817504874,2.4333652312599683,1.9565125119952755,3.264274640088593,58.230392255993685,0.0,0.0,1.9407016652569744,Large,True,0.4644870906521361,18.946712225504665,1.9407016652569744
flesch_kincaid_grade,7.6760172775505815,3.6205130024380057,6.928439413112173,1.3588888888888917,29.38450704225352,14.704704403939427,4.265332159695282,14.99632898463885,2.2048913043478287,43.57444444444445,-45.8958847777709,1.5144016054313805e-294,2.4551442785468757e-292,-1.8417849709927172,Large,True,-7.028687126388846,-47.79890117686312,1.8417849709927172
avg_dependency_depth,2.581087223290302,0.5875512063777887,2.5326767173943963,1.0855263157894737,8.032,3.328239987687628,0.6016937446160743,3.30507792492866,1.527027027027027,6.5030674846625764,-33.39481713062882,8.724291212461507e-191,1.0368788776505249e-203,-1.2628631430983903,Large,True,-0.7471527643973261,-22.448884910983473,1.2628631430983903
pos_entropy,6.740593200133627,0.33001820158182327,6.701701302499913,4.982196969687708,8.053885431512326,6.3685285223714585,0.20240425691481195,6.376627595914581,5.536402417453701,6.905463401324491,40.43413575350734,1.9105957254382934e-284,4.579875731459672e-211,1.2439312708597317,Large,True,0.3720646777621681,5.842239325068169,1.2439312708597317
punct_network_entropy,2.68787632516543,0.44485322065333804,2.707539985629407,0.9823663902685499,4.023739570576895,2.233747194659796,0.3754367338634215,2.283955941244995,1.214073193692306,3.379688936777477,30.592039557159385,3.826187301965669e-171,1.1206997145162388e-148,1.0656813447645106,Large,True,0.45412913050563386,20.330372729345434,1.0656813447645106
adj_noun_ratio,0.3955682867673855,0.17175629410303256,0.3708994708994709,0.0,2.0,0.5204529894581554,0.13683890255212242,0.5161290322580645,0.13157894736842105,0.9210526315789473,-22.58979410216891,3.4508108059005556e-102,7.624198891959307e-109,-0.7683819905095842,Medium,True,-0.12488470269076996,-23.99538579282399,0.7683819905095842
punct_bigram_count,8.741974317817014,3.420314397335187,8.0,2.0,25.0,6.563,2.1956438353821985,6.0,3.0,17.0,22.337830900613934,6.6577135898990284e-102,8.346180524832363e-74,0.6985530564447863,Medium,True,2.1789743178170147,33.20088858474806,0.6985530564447863
hapax_legomena_ratio,0.5758563659580135,0.07070103675811035,0.573170731707317,0.3422818791946309,0.82,0.6205801731707636,0.04394621447560214,0.6209508881922675,0.4957983193277311,0.7803030303030303,-22.539701545927763,8.590229693506011e-104,1.164968833416648e-78,-0.6967192481028549,Medium,True,-0.044723807212750155,-7.206773459139115,0.6967192481028549
max_dependency_depth,8.281300160513643,2.1379378467682106,8.0,4.0,23.0,9.539,2.0920936537009656,9.0,4.0,19.0,-15.95860640959061,7.277419848800147e-54,1.2678901989296502e-61,-0.5918821026257252,Medium,True,-1.2576998394863566,-13.184818529052905,0.5918821026257252
mean_ttr,0.8079478978566585,0.034904667853083916,0.8090419911012235,0.6078260869565216,0.9176623376623378,0.8266265925561663,0.03862899254125465,0.8236266924564796,0.7046376811594204,0.9368674698795183,-13.270691625889746,2.642607784946925e-38,7.292632786115879e-34,-0.5187069236334303,Medium,True,-0.01867869469950778,-2.259629059567017,0.5187069236334303
ttr_range,0.15226324237560193,0.05091390909468777,0.14,0.039999999999999925,0.41999999999999993,0.13084000000000004,0.03701708611796267,0.12,0.040000000000000036,0.2799999999999999,13.798538535820791,8.38261194467586e-42,6.750147785567197e-31,0.45240187257492603,Small,True,0.021423242375601892,16.37361844665384,0.45240187257492603
ttr_std,0.038266627129618515,0.013888087075376922,0.03608171487705004,0.011967032904743314,0.1255812112559492,0.033363350346978744,0.011208149387246152,0.031167725617259858,0.01337578276684582,0.09175837817367116,10.88215710834903,6.421030799400029e-27,7.720481831696315e-24,0.3721154369495507,Small,True,0.0049032767826397705,14.696595910319877,0.3721154369495507
ttr_variance,0.001657136315227821,0.0013181878037311235,0.0013018902272182702,0.00014320987654320918,0.015770640620511346,0.0012386101364493863,0.0009133846668894095,0.0009714271622474748,0.00017891156462584965,0.008419599965062452,10.694413469435293,3.6972736496919044e-26,7.720481831696315e-24,0.34413813616533145,Small,True,0.0004185261787784348,33.789984956702085,0.34413813616533145
signal_length,115.60553772070627,72.42441274496476,90.0,46.0,888.0,96.078,12.69697322707775,96.0,52.0,139.0,12.972124948139449,1.9851681285192097e-37,0.0065276920668751025,0.3171963322194895,Small,True,19.527537720706263,20.324671330279838,0.3171963322194895
token_count,164.60553772070625,72.42441274496476,139.0,95.0,937.0,145.078,12.69697322707775,145.0,101.0,188.0,12.972124948139438,1.985168128519522e-37,0.0065276920668751025,0.3171963322194893,Small,True,19.52753772070625,13.460026827435067,0.3171963322194893
punct_transition_variety,0.39033524403445513,0.12961713519885382,0.3793103448275862,0.08888888888888889,1.0,0.36304644085621035,0.11355822336150177,0.35714285714285715,0.13043478260869565,0.8333333333333334,6.1580579554069494,8.808177365088102e-10,5.6799031047912496e-08,0.21790795126619195,Small,True,0.02728880317824478,7.5166149856439155,0.21790795126619195
