mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
17866.326,126216.164,15930520000.0,1.0942323,1386034.4,27.441423,4.7621155,411.85165,0.16449137748373405,-0.00990569725453652,0.47887470008019517,0,human,113,145
51030.023,580524.7,337008920000.0,1.0000229,7062202.0,24.15963,4.148887,375.00217,0.040728056892164737,-0.007402668027691318,0.4992208028626796,1,human,103,147
3250.8374,12997.246,168928400.0,1.000183,106794.73,17.203209,4.098598,334.85327,0.42008157589057454,-0.04040291357927941,0.528988316115254,2,human,111,155
2592.7295,10411.266,108394450.0,1.0123008,83466.61,36.157337,5.5386076,607.6653,0.473496238547134,-0.04743789606003597,0.5194710623816137,3,human,123,167
30463.695,250357.2,62678730000.0,1.0315291,3165127.2,23.77835,5.045348,258.59805,0.15194989838908307,0.000893338178790301,0.4929973551620041,4,human,110,182
11723.77,71906.4,5170530000.0,1.0433928,686560.25,34.662037,7.5483136,306.17865,0.20090529775748825,-0.026309995090840973,0.577371708848092,5,human,116,149
29019.668,329338.38,108463760000.0,1.0035167,4139185.5,23.916359,3.9370232,341.73038,0.0385544812172338,-0.006946167338537615,0.49921088969316046,6,human,110,157
10700.251,118191.945,13969335000.0,1.0016453,1643157.0,20.478813,4.6379647,237.71268,0.06456374474778503,0.0028601362278947483,0.4991781273958207,7,human,121,194
9636.972,53414.75,2853135400.0,1.0011241,445861.6,16.256578,3.2851772,135.4512,0.283610198747973,-0.005016439407515511,0.5108206687250804,8,human,114,167
5644.6143,33248.582,1105468200.0,1.0122683,354069.47,45.436737,5.677308,465.66858,0.21426130580861777,0.214030652396399,0.5442454920895379,9,human,110,130
7774.9805,57552.17,3312252700.0,1.01192,731115.7,19.267866,4.8672895,304.2097,0.17021968789479122,0.010879390249210837,0.4956531886982103,10,human,140,172
21419.615,185339.06,34350565000.0,1.0043266,2201577.8,17.27126,3.408544,328.14386,0.09318885271727935,-0.00807504879532435,0.5120547018421314,11,human,170,203
5334.901,37940.695,1439496400.0,1.0221032,497405.0,25.366657,5.2787476,197.71567,0.12218348488320976,-0.0016868929628728272,0.4896662301394117,12,human,139,207
17808.07,160363.98,25716607000.0,1.0095962,1710915.4,19.634308,4.5030565,230.65987,0.06164017474084035,-0.0038204829466574617,0.5126753513466007,13,human,131,205
12617.164,84484.84,7137688600.0,1.0030197,878529.4,37.192726,4.9629207,272.65332,0.16643218135026405,-0.020960038672992953,0.516864535485173,14,human,163,222
7596.392,51713.99,2674336500.0,1.0000299,528061.3,8.81053,1.5547227,128.41815,0.20448558497511302,-0.019712025901916053,0.49200965646034767,15,human,138,218
1847.0702,9821.48,96461480.0,1.0276166,104872.055,37.71455,3.64673,236.57637,0.30322740151960165,-0.0182158844387018,0.5008896353100998,16,human,134,176
3476.284,20536.816,421760800.0,1.0010854,259526.42,15.086466,3.141263,175.54828,0.26781779135680545,-0.026252531177130254,0.4919484542211647,17,human,156,192
3546.5781,30138.89,908352800.0,1.0006078,393105.4,15.198805,3.7633,205.27425,0.14604015343504184,-0.009118142183543888,0.5005909018241184,18,human,136,172
4964.779,35811.152,1282438700.0,1.001055,498071.9,19.827732,3.426513,478.73288,0.19019951853492228,-0.017574341569059744,0.5020749009322012,19,human,158,208
5975.369,30405.754,924509900.0,1.0149097,302172.25,16.996567,3.6076548,249.32442,0.33365642549367225,-0.030939635743091432,0.46937159281892726,20,human,132,188
3806.903,32216.883,1037927550.0,1.0153222,417777.47,24.24035,4.2950487,142.01376,0.16063306507605626,-0.013195207451260411,0.4949170046292769,21,human,141,174
2812.2021,13472.614,181511330.0,1.0006217,155659.2,13.830883,2.7216098,270.51297,0.3941841961781028,-0.0318672686493532,0.5116700247601371,22,human,136,172
24614.262,263092.38,69217600000.0,1.0094639,3473405.5,31.38048,4.879079,322.97754,0.06907014334605746,-0.007945231277116716,0.5141946852933198,23,human,143,179
36360.977,352451.44,124222020000.0,1.00281,4483639.5,20.210508,3.7838326,394.43225,0.06907012856185511,-0.010653054955309268,0.4887114410255426,24,human,150,179
5566.4897,33919.527,1150534400.0,1.0000181,440369.72,12.618234,2.4224083,128.49518,0.2373796584154263,-0.02445791775359454,0.5750390368644995,25,human,169,255
2741.9353,14129.785,199650830.0,1.0003531,132935.31,12.257989,2.8811035,240.92773,0.33699426724198606,-0.032775611058471564,0.5118302060399316,26,human,141,189
2597.1375,13980.864,195464560.0,1.000042,124009.7,25.675377,3.9070017,213.47995,0.25883660851167956,0.08469896761142173,0.5741833729611099,27,human,143,180
62715.844,641638.75,411700300000.0,1.0010968,7836126.0,119.50146,11.309094,1103.1702,0.055538086440444556,-0.009467167741416248,0.48910675396172376,28,human,137,232
6694.686,46386.094,2151669800.0,1.0020187,584292.6,12.390037,2.9423797,105.42439,0.2001774306115019,-0.020054405747770194,0.48539798615504615,29,human,141,207
4025.1096,28179.127,794063200.0,1.0007019,345785.0,13.645378,2.8318834,208.82013,0.15021130344605965,-0.01356573429162202,0.5487449553540165,30,human,144,200
14479.842,117727.67,13859804000.0,1.000074,1379003.0,24.951298,3.5861406,467.05322,0.09851191636193485,-0.009068489823905004,0.46696684042181624,31,human,134,190
6597.5854,26971.576,727465900.0,1.0015934,210167.48,34.512623,5.48899,725.3729,0.5194294185395564,-0.04984053186604427,0.48672359274556465,32,human,131,167
3061.1904,19573.562,383124380.0,1.0060103,189653.16,11.270928,2.8929665,98.14789,0.2261714066206146,-0.018890604468722694,0.48471349229305777,33,human,141,197
14001.22,115212.375,13273892000.0,1.0008727,1464611.6,40.604156,5.960543,437.85883,0.09807391781580416,-0.014024038042697373,0.490974105479996,34,human,131,174
